Age,Budget,Interet,Duree,Climat,Type_Voyage,Saison,Nationalite,Activite,Destination
29,7452.0,Shopping,10,Tempéré,Solo,Printemps,Allemand,Randonnée,Machu Picchu
18,1232.0,Shopping,13,Froid,Solo,Été,Brésilien,Opéra,Prague
39,6411.0,Gastronomie,17,Froid,Couple,Hiver,Canadien,Architecture,Queenstown
60,4337.0,Cultuer,8,Désertique,Solo,Été,Américain,Romance,Venise
69,4157.0,Plage,19,Tempéré,Solo,Hiver,Brésilien,Musique,Santorin
28,6519.0,Ville,19,Tempéré,Solo,Printemps,Britannique,Gastronomie,Lisbonne
29,2181.0,Aventure,14,Froid,Couple,Automne,Français,Musée,Amsterdam
63,2769.0,Culture,12,Désertique,Solo,Hiver,Américain,Tango,Buenos Aires
33,3939.0,Gastronomie,6,Tempéré,Amis,Printemps,Japonais,Opéra,Sydney
67,2628.0,Histoire,18,Tempéré,Couple,Hiver,Australien,Romance,Venise
54,1260.0,Aventure,20,Froid,Solo,Automne,Brésilien,Musique,Queenstown
33,1304.0,Nature,15,Désertique,Amis,Été,Français,Romance,Reykjavik
35,6342.0,Nature,12,Froid,Solo,Hiver,Allemand,Musique,Reykjavik
45,,Cultuer,5,Tempéré,Solo,Été,Brésilien,Carnaval,
45,,Cultuer,5,Tempéré,Solo,Été,Brésilien,Carnaval,Rio de Janeiro
22,7164.0,Aventure,18,Tempéré,Famille,Printemps,Japonais,Musée,Machu Picchu
55,2323.0,Histoire,7,Désertique,Amis,Automne,Indien,Musique,Vienne
21,2540.0,Nature,10,Froid,Couple,Été,Australien,Architecture,Reykjavik
30,1540.0,Histoire,9,Désertique,Solo,Hiver,Australien,Opéra,Sydney
68,4010.0,Nature,6,Désertique,Solo,Été,Canadien,Romance,Le Cap
20,5430.0,Histoire,7,Froid,Famille,Printemps,Français,Carnaval,Queenstown
30,4419.0,Nature,17,Chaud,Famille,Automne,Chinois,Shopping,Reykjavik
62,3947.0,Ville,20,Tempéré,Amis,Printemps,Américain,Aurores boréales,Lisbonne
34,6773.0,Shopping,12,Froid,Amis,Automne,Brésilien,Aurores boréales,Reykjavik
49,1208.0,Cultuer,3,Chaud,Amis,Hiver,Brésilien,Opéra,Sydney
63,7286.0,Aventure,3,Chaud,Couple,Été,Allemand,Aurores boréales,Queenstown
51,7798.0,Histoire,14,Froid,Famille,Été,Britannique,Musique,Vienne
28,2017.0,Aventure,15,Tempéré,Famille,Automne,Français,Gastronomie,Machu Picchu
69,5086.0,Culture,15,Désertique,Solo,Printemps,Brésilien,Surf,Kyoto
34,5354.0,Shopping,15,Chaud,Amis,Printemps,Canadien,Photographie,Santorin
20,5122.0,Plage,11,Désertique,Couple,Été,Brésilien,Musique,Santorin
25,5940.0,Shopping,5,Chaud,Solo,Hiver,Canadien,Opéra,Sydney
62,3236.0,Culture,7,Tempéré,Couple,Automne,Indien,Gastronomie,Tokyo
22,2089.0,Culture,4,Tempéré,Solo,Printemps,Allemand,Surf,Mexico
52,,Cultuer,3,Tempéré,Famille,Automne,Britannique,Histoire,Kyoto
40,2567.0,Plage,12,Tempéré,Amis,Hiver,Britannique,Musique,Barcelone
18,7372.0,Plage,3,Chaud,Famille,Été,Britannique,Tango,Bali
50,6992.0,Culture,19,Tempéré,Couple,Été,Indien,Opéra,Tokyo
29,5395.0,Shopping,5,Chaud,Famille,Printemps,Canadien,Romance,Sydney
57,7414.0,Aventure,12,Froid,Amis,Automne,Britannique,Opéra,Queenstown
54,4131.0,Histoire,20,Désertique,Amis,Automne,Chinois,Opéra,Sydney
69,5475.0,Plage,10,Tempéré,Couple,Printemps,Indien,Carnaval,Rio de Janeiro
67,7702.0,Histoire,11,Chaud,Solo,Été,Japonais,Gastronomie,Bangkok
69,3891.0,Nature,16,Froid,Famille,Automne,Japonais,Surf,Reykjavik
65,1058.0,Cultuer,20,Chaud,Solo,Printemps,Japonais,Musique,Le Caire
53,1659.0,Ville,11,Froid,Couple,Printemps,Britannique,Surf,Berlin
29,4976.0,Gastronomie,8,Désertique,Famille,Printemps,Chinois,Histoire,Kyoto
24,4743.0,Aventure,6,Chaud,Famille,Printemps,Chinois,Ski,Queenstown
49,1177.0,Histoire,20,Tempéré,Amis,Hiver,Britannique,Carnaval,Rio de Janeiro
46,5490.0,Shopping,16,Chaud,Couple,Automne,Allemand,Shopping,Marrakech
65,2720.0,Culture,10,Tempéré,Amis,Été,Américain,Surf,Istanbul
49,3825.0,Aventure,15,Froid,Couple,Printemps,Indien,Randonnée,Machu Picchu
31,1577.0,Culture,16,Chaud,Amis,Automne,Chinois,Carnaval,Hanoï
66,6031.0,Plage,6,Chaud,Amis,Automne,Australien,Randonnée,Santorin
43,,Cultuer,13,Tempéré,Amis,Été,Allemand,Opéra,Sydney
53,2782.0,Shopping,10,Désertique,Couple,Printemps,Chinois,Shopping,Dubai
57,4429.0,Histoire,5,Froid,Famille,Hiver,Français,Aurores boréales,Reykjavik
69,4738.0,Shopping,18,Désertique,Solo,Automne,Brésilien,Gastronomie,Tokyo
20,6256.0,Shopping,5,Désertique,Famille,Automne,Américain,Musique,Vienne
18,7945.0,Gastronomie,7,Froid,Couple,Hiver,Canadien,Architecture,Barcelone
59,6118.0,Aventure,13,Froid,Famille,Hiver,Indien,Musique,Queenstown
35,7904.0,Nature,20,Désertique,Solo,Hiver,Australien,Opéra,Reykjavik
30,6508.0,Ville,6,Froid,Famille,Printemps,Allemand,Opéra,Sydney
19,3503.0,Culture,15,Chaud,Amis,Été,Japonais,Romance,Venise
45,4560.0,Cultuer,11,Désertique,Couple,Printemps,Japonais,Architecture,
45,4560.0,Cultuer,11,Désertique,Couple,Printemps,Japonais,Architecture,Barcelone
43,3934.0,Histoire,13,Tempéré,Famille,Hiver,Japonais,Architecture,Le Cap
18,5399.0,Ville,6,Désertique,Famille,Hiver,Britannique,Carnaval,Dubai
65,4250.0,Histoire,6,Chaud,Amis,Printemps,Britannique,Carnaval,Rio de Janeiro
48,3324.0,Culture,11,Chaud,Amis,Été,Allemand,Photographie,Rome
49,2475.0,Shopping,8,Tempéré,Amis,Printemps,Britannique,Surf,Bali
59,6107.0,Aventure,9,Tempéré,Amis,Printemps,Canadien,Randonnée,Machu Picchu
36,5981.0,Culture,12,Tempéré,Amis,Été,Britannique,Surf,Kyoto
37,5261.0,Histoire,6,Froid,Solo,Automne,Français,Photographie,Santorin
27,5086.0,Aventure,4,Froid,Amis,Automne,Australien,Histoire,Queenstown
57,,Cultuer,14,Désertique,Amis,Hiver,Français,Musique,Vienne
41,3823.0,Histoire,3,Désertique,Famille,Printemps,Britannique,Musique,Vienne
29,6425.0,Plage,15,Désertique,Famille,Été,Indien,Ski,Queenstown
22,6325.0,Aventure,16,Froid,Famille,Automne,Japonais,Photographie,Queenstown
25,5662.0,Culture,11,Chaud,Famille,Hiver,Britannique,Randonnée,Rome
35,5759.0,Nature,10,Tempéré,Famille,Hiver,Allemand,Shopping,New York
59,4923.0,Plage,18,Tempéré,Solo,Hiver,Japonais,Musée,Paris
18,5176.0,Plage,13,Froid,Solo,Automne,Indien,Musique,Vienne
40,3420.0,Ville,20,Chaud,Famille,Automne,Américain,Architecture,Sydney
59,7367.0,Shopping,19,Froid,Amis,Hiver,Japonais,Aurores boréales,Reykjavik
67,3483.0,Cultuer,12,Chaud,Amis,Hiver,Français,Histoire,Rome
26,4841.0,Histoire,15,Désertique,Couple,Été,Allemand,Carnaval,Rio de Janeiro
36,7249.0,Plage,12,Tempéré,Couple,Été,Canadien,Opéra,Bali
20,1456.0,Gastronomie,3,Chaud,Amis,Été,Allemand,Aurores boréales,Bali
67,5707.0,Aventure,8,Tempéré,Famille,Été,Français,Musée,Machu Picchu
51,7658.0,Gastronomie,14,Froid,Famille,Automne,Japonais,Photographie,Santorin
63,6083.0,Ville,12,Tempéré,Solo,Hiver,Américain,Shopping,New York
63,2902.0,Plage,20,Désertique,Couple,Hiver,Indien,Gastronomie,Barcelone
39,4918.0,Ville,17,Tempéré,Couple,Hiver,Japonais,Gastronomie,Lisbonne
47,6546.0,Plage,3,Tempéré,Couple,Automne,Allemand,Architecture,Barcelone
59,,Cultuer,20,Froid,Couple,Été,Brésilien,Histoire,Prague
22,3504.0,Culture,10,Froid,Couple,Hiver,Français,Musique,Vienne
56,5781.0,Culture,9,Chaud,Amis,Hiver,Allemand,Gastronomie,Hanoï
65,4701.0,Shopping,18,Chaud,Couple,Été,Japonais,Opéra,Sydney
43,2772.0,Nature,17,Froid,Couple,Été,Français,Carnaval,Reykjavik
58,1232.0,Gastronomie,7,Tempéré,Amis,Printemps,Français,Architecture,Barcelone
66,7666.0,Culture,12,Désertique,Couple,Été,Brésilien,Musée,Paris
38,3503.0,Histoire,3,Tempéré,Amis,Hiver,Japonais,Histoire,Istanbul
21,2301.0,Culture,8,Tempéré,Couple,Été,Canadien,Randonnée,Mexico
40,1115.0,Plage,5,Tempéré,Amis,Automne,Australien,Surf,Bali
58,3593.0,Cultuer,11,Chaud,Amis,Hiver,Américain,Randonnée,Machu Picchu
25,2465.0,Nature,5,Chaud,Amis,Printemps,Chinois,Aurores boréales,Reykjavik
31,1664.0,Gastronomie,7,Désertique,Amis,Printemps,Britannique,Histoire,Prague
57,6698.0,Gastronomie,6,Chaud,Couple,Été,Canadien,Histoire,Rome
35,2496.0,Culture,7,Désertique,Solo,Printemps,Australien,Romance,Venise
33,3408.0,Shopping,4,Désertique,Couple,Automne,Brésilien,Histoire,Istanbul
23,7544.0,Histoire,7,Désertique,Famille,Printemps,Britannique,Histoire,Kyoto
59,4349.0,Culture,10,Chaud,Famille,Automne,Indien,Opéra,Sydney
49,3232.0,Shopping,17,Chaud,Solo,Été,Américain,Aurores boréales,Reykjavik
65,5894.0,Aventure,12,Chaud,Solo,Printemps,Canadien,Opéra,Sydney
58,,Cultuer,6,Chaud,Couple,Été,Français,Musée,
58,,Cultuer,6,Chaud,Couple,Été,Français,Musée,Paris
41,2710.0,Culture,12,Froid,Amis,Été,Indien,Histoire,Prague
21,7047.0,Plage,20,Tempéré,Amis,Hiver,Canadien,Shopping,New York
67,6631.0,Aventure,19,Froid,Famille,Automne,Indien,Ski,Queenstown
18,3275.0,Nature,20,Chaud,Famille,Été,Chinois,Opéra,Sydney
31,7525.0,Nature,12,Désertique,Famille,Été,Chinois,Gastronomie,Tokyo
55,5375.0,Plage,11,Chaud,Famille,Automne,Allemand,Aurores boréales,Santorin
39,1341.0,Plage,18,Chaud,Solo,Printemps,Brésilien,Photographie,Santorin
52,5757.0,Histoire,17,Tempéré,Solo,Été,Britannique,Carnaval,New York
40,4332.0,Histoire,20,Tempéré,Famille,Printemps,Canadien,Romance,Venise
57,7777.0,Cultuer,9,Tempéré,Famille,Hiver,Britannique,Opéra,Tokyo
48,3183.0,Aventure,13,Tempéré,Famille,Été,Indien,Photographie,Machu Picchu
66,5960.0,Shopping,3,Chaud,Famille,Printemps,Australien,Surf,Bali
55,1586.0,Nature,11,Désertique,Amis,Hiver,Australien,Shopping,Dubai
39,1485.0,Culture,18,Chaud,Amis,Hiver,Américain,Musique,Hanoï
66,6660.0,Shopping,18,Tempéré,Amis,Automne,Brésilien,Shopping,New York
55,7725.0,Plage,14,Tempéré,Amis,Hiver,Brésilien,Opéra,Bali
48,2431.0,Gastronomie,16,Tempéré,Amis,Automne,Japonais,Gastronomie,Lisbonne
46,7722.0,Ville,4,Tempéré,Famille,Été,Canadien,Aurores boréales,New York
55,5598.0,Plage,12,Chaud,Couple,Automne,Japonais,Tango,Santorin
31,,Cultuer,13,Tempéré,Couple,Été,Britannique,Musée,Paris
